Title,Link,Views,Duration 
Invest in Yourself Like an Influencer | ft. Sharan Hegde @financewithsharan  | upGrad,https://www.youtube.com/watch?v=w-ufjfaaR8M,"5,030",4:37
Chief HR Officer answers your appraisal questions | Frequently Unasked Questions ft. Saurabh Singla,https://www.youtube.com/watch?v=oclYlNVCJJA,834,9:01
"How To Get A Promotion | Depikka Siingh, Confidence and Growth Coach #upGrad",https://www.youtube.com/watch?v=ntCBW6K0Qws,217,11:58:00
#upGradRealStories ft. Dhanvin Sudarsan | Liverpool Business School Global MBA | Tamil,https://www.youtube.com/watch?v=sVOZy9Z9i2I,957,0:59
#upGradRealStories ft. Siva Sandilya | IIITB Executive PGP in Data Science | Telugu,https://www.youtube.com/watch?v=xF9WkVphi-c,"888,476",0:59
#upGradRealStories - ft. Voruganti Aravind | Liverpool Business School Global MBA,https://www.youtube.com/watch?v=PjmH3aVeDGg,"6,592,975",0:54
#upGradRealStories - ft. Srikant Sahoo | Machine Learning & AI from IIITB,https://www.youtube.com/watch?v=IA5UMxGddk0,"3,982,658",1:00
The Truth about Santa Claus! #upGrad,https://www.youtube.com/watch?v=bNYOG4uPcgI,503,1:27
#upGradRealStories ft. Arun M | MICA Advanced Certificate in Digital Marketing and Communication,https://www.youtube.com/watch?v=U4AuubP6ed8,"4,420,789",1:03
Real stories of upGrad | Anish Sharma | #RealStoriesRealImpact,https://www.youtube.com/watch?v=lYM69SzI6Io,"26,403,713",1:00
Real stories of upGrad | Tuhin Chakraborthy | #fullinterview,https://www.youtube.com/watch?v=bOgjENylous,"27,928",11:35
The Future of Ambee - EP11 | Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=AzJiFEAf3TI,213,2:17
Investing in Yourself QnA | One on One with @financewithsharan | upGrad,https://www.youtube.com/watch?v=MVHllJP8tdM,922,10:40:00
From Conflict to Collaboration: How to Handle Difficult Managers? | Transformation Coach | upGrad,https://www.youtube.com/watch?v=4v7Ke7ct_hY,248,9:28
Top Tips for Budding Entrepreneurs - EP07 | Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=pz-OqkVDhjY,172,3:30
How to convert Knowledge into Skill? - EP06 | Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=Z5ZwI-aybp8,169,2:30
Peer Learning Experience with upGrad - EP09 | Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=U6kgOm9RfI0,142,2:52
Things to Keep in Mind as an Entrepreneur - EP03 | Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=F3NWDYUqR0k,211,1:53
Importance of Pivoting in a Startup - EP05 | Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=a5eusBdk-Dc,141,3:15
Madhusudan’s Journey as an Entrepreneur - EP01| Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=3czLICHkypY,390,2:27
The Moral Behind #Dhanteras | upGrad | Diwali 2022,https://www.youtube.com/watch?v=2pmRipt9uB4,441,1:26
How has upGrad helped in the Creation of Ambee? - EP08 | Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=N5HDfKQWbJI,178,3:30
"upGrad Digital Marketing Bootcamp gets you a job, just like that! #GetAJob | upGrad",https://www.youtube.com/watch?v=2y7VWbNzKCE,"5,661",1:00
How to make your Body Language speak for you? | Alka Sharma ICF Executive Coach | upGrad,https://www.youtube.com/watch?v=9JgKkg5WE8g,706,12:34
#upGradRealStories ft. Dhanvin Sudarsan | Liverpool Business School Global MBA,https://www.youtube.com/watch?v=AJ1s1hw_tCA,"24,829",0:52
5 Ways to code Efficiently | upGrad,https://www.youtube.com/watch?v=0X14wGCUHVY,571,2:41
#upGradRealStories - ft. Voruganti Aravind | Liverpool Business School Global MBA | Telugu,https://www.youtube.com/watch?v=etg53elaUTU,"1,454,081",0:58
Who is an Ecopreneur? #shorts | upGrad,https://www.youtube.com/watch?v=6M6vi5Yjx20,"1,325",1:24
Is Technology taking over Football? | upGrad,https://www.youtube.com/watch?v=vP-VvrK9j4k,438,6:09
Make great your fate with MICA x #upGrad | #GetRecognised in Digital Marketing,https://www.youtube.com/watch?v=n_W0RfKs_uI,"7,160,891",0:20
Real stories of upGrad | Ankur Sharma | #fullinterview,https://www.youtube.com/watch?v=hAxZW0GUKZY,"8,008",12:25
International Boss Day | upGrad,https://www.youtube.com/watch?v=jTn7tPCYxU4,359,1:31
Another Cuppa Starbucks! upGrad #shorts,https://www.youtube.com/watch?v=QoTRosatmoM,935,1:00:00
Step by Step Guide to Bachelors in Germany || upGrad Abroad,https://www.youtube.com/watch?v=PTMPj2H69qc,"1,633",9:55
Is Starbucks a bank?  | #upGrad #BrandsKiBaat,https://www.youtube.com/watch?v=-cvbh-BDKAk,"1,537",6:58
Level up to greatness! #GetRecognised in Digital Marketing with MICA x #upgrad,https://www.youtube.com/watch?v=5izqtGs1WV0,"10,304,260",0:20
Real stories of upGrad | Tuhin Chakraborty | #RealStoriesRealImpact,https://www.youtube.com/watch?v=h1Na5Gl2b1g,"14,703,399",1:00
Why is Netflix losing subscribers? | #upGrad #BrandsKiBaat,https://www.youtube.com/watch?v=hbB9Qx3tUZU,"1,545",4:14
@beyounick x @upGrad_edu | The Office Canteen S02 EP03 | Does Nick resign too? | Ft. Ahsaas Channa,https://www.youtube.com/watch?v=tWeg4b0QL0M,931,20:41
Letter of Recommendation (LOR) Guide & Tips || upGrad Abroad,https://www.youtube.com/watch?v=2lqxDH_-flQ,"1,870",1:33
The upGrad experience ft. Sai Sireesha | MS in Data Science from Liverpool John Moores University,https://www.youtube.com/watch?v=WfgjpzWlGiY,"1,834",3:38
@beyounick x @upGrad_edu | Office Canteen S02 EP01 | The New Boss | ft.@ashishchanchlanivines,https://www.youtube.com/watch?v=gwGw91GwAsI,"1,938",1:14
Real stories of upGrad | Anish Sharma | #fullinterview,https://www.youtube.com/watch?v=_qQ47RyJ-F4,"8,073",22:26
How does Supreme always Sell Out? | #BrandsKiBaat #upGrad,https://www.youtube.com/watch?v=k7IVeoRoSzU,454,7:05:00
Ad Free for Free? How does that work? Case Study | upGrad,https://www.youtube.com/watch?v=gCSm7y5FXNs,364,1:14
A Message for our Learners - EP12 | Entrepreneurship 101#upGrad,https://www.youtube.com/watch?v=YG2DgqMrAK4,271,3:26
Real stories of upGrad | Ankur Sharma | #RealStoriesRealImpact,https://www.youtube.com/watch?v=DTX0KLHpRFc,"35,265,158",1:00
Interact with leaders from Silicon Valley | upGrad |  #GoldenGateUniversity,https://www.youtube.com/watch?v=fwusYtM_zjA,927,0:19
How to choose the right MS in the US? || upGrad Abroad,https://www.youtube.com/watch?v=SdEUmpyuhEk,"1,419",16:07
Learn from the same on-campus faculty | upGrad |  Golden Gate University,https://www.youtube.com/watch?v=tBTq65dT4AY,"2,373",0:20
@beyounick x @upGrad_edu: Office Canteen S1 Ep01 | Funny Interviews | @MumbikerNikhil@ThatsSoViraj,https://www.youtube.com/watch?v=WzVFpbLk4ts,888,16:29:00
@beyounickx @upGrad_edu: Office Canteen S1 Ep03 | Junk Food vs Healthy Food | Ft. @Mythpat,https://www.youtube.com/watch?v=YxLWTJpGyDo,705,12:57
Earn the Same On-campus U.S. Master’s Degree from Golden Gate University,https://www.youtube.com/watch?v=hok05nCbjXk,"4,085",0:20
Become very very important | #Blockchain courses from #upGrad | Umeed ki 'Kiran' | #Tech courses,https://www.youtube.com/watch?v=JpXg0vFqKGU,"4,641,847",1:08
How to save up to 25 Lacs on your Australian Bachelors? || upGrad Abroad,https://www.youtube.com/watch?v=wefvkq9FJhY,446,18:00
Statement of Purpose (SOP): Guide & Tips || upGrad Abroad,https://www.youtube.com/watch?v=gjQTDloyhHE,647,1:06
What is IELTS ? || upGrad Abroad,https://www.youtube.com/watch?v=mK9YnVDfXdc,"2,763",1:39:00
Become Doctor of Business Administration | DBA | upGrad,https://www.youtube.com/watch?v=hkEA7ZUZIkI,"7,466,859",0:52
Become very very important | #Fullstack courses from #upGrad | Umeed ki 'Kiran' | #Tech courses,https://www.youtube.com/watch?v=BtUSOoMh4cU,"7,005,846",1:07
Kickstart your Australian Bachelors in India || upGrad Abroad,https://www.youtube.com/watch?v=9Z9QQKF_-dA,179,22:47
How to Balance Working and Upskilling - EP10 | Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=R3pEHLSEMdY,226,2:29
Planning the Next Move in a StartUp - EP04 | Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=70hbWYQeFHA,88,2:09:00
Brands on Diwali | #upGrad,https://www.youtube.com/watch?v=jj98VgWyUnU,777,1:30
What Keeps an Entrepreneur Motivated? - EP02 | Entrepreneurship 101 #upGrad,https://www.youtube.com/watch?v=vIqzvhn50QI,226,2:37
